,Unnamed: 0,Location,Carpet_Area,Bedrooms,Bathrooms,Balconies,PricePerSqft,Transaction_Type,Totals_Floors,PropertyOnFloor,Furnishing,AgeofConstruction,Amenities,Price,New_Furnishing
2932,2932,kharghar,2100.0,1.0,1,1.0,4524,Resale ,7,1,Unfurnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",9500400.0,Unfurnished
2933,2933,kharghar,1375.0,2.0,2,3.0,9600,Resale ,15,13,Furnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",13200000.0,Furnished
2934,2934,kharghar,1050.0,2.0,2,2.0,8571,Resale ,17,8,Unfurnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",8999550.0,Unfurnished
2935,2935,kharghar,1060.0,2.0,2,2.0,11792,Resale ,14,4,Furnished,5.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",12499520.0,Furnished
2936,2936,kharghar,557.0,1.0,1,2.0,11131,Resale ,13,6,Semi-Furnished,6.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Cover Parking,Piped Gas,Swimming Pool",6199967.0,Semi-Furnished
2937,2937,kharghar,605.0,1.0,1,2.0,8760,Resale ,4,3,Furnished,8.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Cover Parking,Piped Gas,Swimming Pool",5299800.0,Furnished
2938,2938,kharghar,1750.0,2.0,2,1.0,4857,Resale ,7,7,Furnished,12.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Power Backup",8499750.0,Furnished
2939,2939,kharghar,600.0,1.0,2,0.0,9000,Resale ,5,2,Semi-Furnished,12.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Cover Parking,Piped Gas,Swimming Pool",5400000.0,Semi-Furnished
2940,2940,airoli,900.0,2.0,1,0.0,10000,Resale ,3,3,Semi-Furnished,15.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",9000000.0,Semi-Furnished
2941,2941,airoli,900.0,2.0,1,0.0,10000,Resale ,3,3,Semi-Furnished,15.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",9000000.0,Semi-Furnished
2942,2942,kharghar,620.0,1.0,1,1.0,10323,Resale ,7,2,Unfurnished,7.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Cover Parking,Piped Gas,Swimming Pool",6400260.0,Unfurnished
2943,2943,kharghar,2525.0,5.0,5,5.0,9109,Resale ,20,14,Unfurnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",23000225.0,Unfurnished
2944,2944,kharghar,1150.0,2.0,2,2.0,10435,Resale ,30,10,Unfurnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",12000250.0,Unfurnished
2945,2945,kharghar,995.0,2.0,2,2.0,8543,Resale ,7,7,Unfurnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",8500285.0,Unfurnished
2946,2946,kharghar,1850.0,1.0,1,1.0,5027,Resale ,7,6,Unfurnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",9299950.0,Unfurnished
2947,2947,kharghar,1370.0,2.0,2,3.0,9489,Resale ,15,14,Furnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",12999930.0,Furnished
2948,2948,kharghar,1040.0,2.0,2,2.0,9135,Resale ,17,12,Unfurnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",9500400.0,Unfurnished
2949,2949,kharghar,1050.0,2.0,2,2.0,11714,Resale ,14,5,Furnished,7.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",12299700.0,Furnished
2950,2950,kharghar,560.0,1.0,1,2.0,11607,Resale ,13,10,Semi-Furnished,6.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Cover Parking,Piped Gas,Swimming Pool",6499920.0,Semi-Furnished
2951,2951,kharghar,598.0,1.0,1,2.0,9197,Resale ,4,2,Furnished,8.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Cover Parking,Piped Gas,Swimming Pool",5499806.0,Furnished
2952,2952,kharghar,1700.0,2.0,2,1.0,5118,Resale ,7,3,Furnished,12.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",8700600.0,Furnished
2953,2953,kharghar,585.0,1.0,2,0.0,9060,Resale ,5,5,Semi-Furnished,12.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Cover Parking,Piped Gas,Swimming Pool",5300100.0,Semi-Furnished
2954,2954,kharghar,635.0,1.0,1,1.0,10551,Resale ,7,5,Unfurnished,6.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Cover Parking,Piped Gas,Swimming Pool",6699885.0,Unfurnished
2955,2955,kharghar,2530.0,5.0,5,5.0,9921,Resale ,20,15,Unfurnished,5.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",25100130.0,Unfurnished
2956,2956,kharghar,1145.0,2.0,2,2.0,10393,Resale ,30,13,Unfurnished,8.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",11899985.0,Unfurnished
2957,2957,kharghar,1005.0,2.0,2,2.0,8159,Resale ,7,5,Unfurnished,9.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Power Backup",8199795.0,Unfurnished
2958,2958,kharghar,2000.0,1.0,1,1.0,4900,Resale ,7,3,Unfurnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",9800000.0,Unfurnished
2959,2959,kharghar,1350.0,2.0,2,3.0,9852,Resale ,15,10,Furnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",13300200.0,Furnished
2960,2960,kharghar,1045.0,2.0,2,2.0,8804,Resale ,17,5,Unfurnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",9200180.0,Unfurnished
2961,2961,kharghar,1055.0,2.0,2,2.0,11943,Resale ,14,7,Furnished,5.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",12599865.0,Furnished
2962,2962,kharghar,550.0,1.0,1,2.0,11636,Resale ,13,8,Semi-Furnished,6.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Cover Parking,Piped Gas,Swimming Pool",6399800.0,Semi-Furnished
